frame_idx,session_index,target_range_m,music_m,music_abs_err_m,esprit_m,esprit_abs_err_m,cnn_m,cnn_abs_err_m
31,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0488873720169067,0.5488873720169067
32,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.042974829673767,0.5429748296737671
33,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0394757986068726,0.5394757986068726
34,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0382500886917114,0.5382500886917114
35,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0393643379211426,0.5393643379211426
36,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0441309213638306,0.5441309213638306
37,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.048364520072937,0.548364520072937
38,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0507549047470093,0.5507549047470093
39,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0465459823608398,0.5465459823608398
40,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0414786338806152,0.5414786338806152
41,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0384823083877563,0.5384823083877563
42,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0390982627868652,0.5390982627868652
43,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0432883501052856,0.5432883501052856
44,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0478729009628296,0.5478729009628296
45,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0514934062957764,0.5514934062957764
46,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0517003536224365,0.5517003536224365
47,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0473337173461914,0.5473337173461914
48,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.0428690910339355,0.5428690910339355
49,0,0.5,0.152587890625,0.347412109375,0.152587890625,0.347412109375,1.039312720298767,0.5393127202987671
50,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7937720417976379,0.19377204179763796
51,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7898843884468079,0.18988438844680788
52,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7923876047134399,0.19238760471343996
53,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7926435470581055,0.1926435470581055
54,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7882906198501587,0.1882906198501587
55,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.7925649881362915,0.19256498813629153
56,1,0.6,0.457763671875,0.14223632812499998,0.457763671875,0.14223632812499998,0.792499303817749,0.19249930381774905
