sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
216,4,17,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
217,4,18,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
218,4,19,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
219,4,20,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
220,4,21,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
221,4,22,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
222,4,23,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
223,4,24,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
224,4,25,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
225,4,26,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
226,4,27,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
227,4,28,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
228,4,29,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
229,4,30,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
230,4,31,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
231,4,32,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
232,4,33,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
233,4,34,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
234,4,35,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
235,4,36,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
236,4,37,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
237,4,38,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
238,4,39,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
239,4,40,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
240,4,41,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
241,4,42,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
242,4,43,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
243,4,44,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
244,4,45,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
245,4,46,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
