sample_idx,session_index,frame_index,true_x_m,true_y_m,true_subregion_id,pred_subregion_id,region_correct,region_topk_hit,topk_ids,topk_probs,est_x_m,est_y_m,est_x_top1_m,est_y_top1_m,est_x_oracle_m,est_y_oracle_m,rmse_xy_m,rmse_xy_top1_m,rmse_xy_oracle_m
12,0,12,-1.0,-1.0,0,13,0,0,"13,8,9","0.409338,0.329364,0.261298",-0.4764706790447235,0.45404356718063354,-0.3252803087234497,0.7355062961578369,-0.8389860242605209,-0.7347508724778891,1.5454208634411775,1.862049614215426,0.3102943764148403
13,0,13,-1.0,-1.0,0,9,0,0,"9,8,13","0.417484,0.343286,0.239230",-0.46572479605674744,0.34708091616630554,-0.29507333040237427,0.21592290699481964,-0.8292744308710098,-0.7603832166641951,1.4491642378447163,1.405485725742077,0.29421662565296286
14,0,14,-1.0,-1.0,0,13,0,0,"13,8,9","0.431331,0.296323,0.272346",-0.4596003293991089,0.46347957849502563,-0.3169633150100708,0.7313317060470581,-0.8354049623012543,-0.7389480788260698,1.5600654731957662,1.8611954731854063,0.3086091897265073
15,0,15,-1.0,-1.0,0,8,0,0,"8,13,11","0.430722,0.296264,0.273014",-0.22584015130996704,0.38287946581840515,-0.7747623920440674,0.2675793766975403,-0.8108122162520885,-0.7639021798968315,1.5848277787526228,1.2874352241051334,0.3025461918069944
16,0,16,-1.0,-1.0,0,13,0,0,"13,8,9","0.439169,0.306182,0.254649",-0.4422074556350708,0.46649301052093506,-0.2989118695259094,0.7476996183395386,-0.8104778155684471,-0.7350636459887028,1.568991482595064,1.8830768764540189,0.3257451919345963
17,0,17,-1.0,-1.0,0,13,0,0,"13,8,9","0.339448,0.338907,0.321645",-0.4656343460083008,0.40813836455345154,-0.2923157215118408,0.7079635858535767,-0.822760783135891,-0.7514854031614959,1.5061209466351784,1.8487716594055401,0.30524292757803073
18,0,18,-1.0,-1.0,0,13,0,0,"13,8,9","0.363053,0.347820,0.289127",-0.4553699791431427,0.4209698438644409,-0.27995824813842773,0.7271174192428589,-0.7930862456560135,-0.7400934528559446,1.521767773607614,1.8712014066572298,0.3322118525656011
19,0,19,-1.0,-1.0,0,8,0,0,"8,13,9","0.349620,0.335021,0.315359",-0.4620792269706726,0.40769580006599426,-0.7461774349212646,0.2674436867237091,-0.7903851047158241,-0.7321783024817705,1.5069725357749255,1.2926095286508361,0.340098318117779
20,0,20,-1.0,-1.0,0,9,0,0,"9,8,13","0.340734,0.332674,0.326592",-0.46671536564826965,0.40516990423202515,-0.3308181166648865,0.24179869890213013,-0.821711853146553,-0.7455096114426851,1.5029620623938242,1.410626953371781,0.31072821110496124
21,0,21,-1.0,-1.0,0,13,0,0,"13,8,9","0.562692,0.259453,0.177855",-0.4300074279308319,0.5013608336448669,-0.3107606768608093,0.7022319436073303,-0.840198740363121,-0.7471010056324303,1.605919015709334,1.8364760914312386,0.29915605281134
22,0,22,-1.0,-1.0,0,13,0,0,"13,8,9","0.388056,0.321259,0.290685",-0.4648316502571106,0.44242942333221436,-0.3145062029361725,0.7328663468360901,-0.8319003656506538,-0.7431294783018529,1.538508304774801,1.8635255624246319,0.3069852634669328
